id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_084	23	11	0.890179079	0.080925371	1	7	11	11	0.080925371	-0.080925371	220	215	0.977272727	11	10	0.909090909	215	153	0.711627907	215	9468.318357543	9468.310076808	204	203	0.995098039
case_085	18	24	12.892022658	0.537167611	1	11	24	24	0.537167611	-0.537167611	480	475	0.989583333	24	20	0.833333333	475	351	0.738947368	475	9462.901231805	9462.846949604	469	462	0.985074627
case_086	16	24	10.894742121	0.453947588	1	6	24	24	0.453947588	-0.453947588	480	480	1.000000000	24	20	0.833333333	480	358	0.745833333	480	9487.450997037	9487.405602278	456	447	0.980263158
case_087	12	24	9.042207921	0.376758663	1	10	24	24	0.376758663	-0.376758663	480	480	1.000000000	24	20	0.833333333	480	350	0.729166667	480	9487.082852773	9487.045176907	456	448	0.982456140
case_088	14	24	17.100688722	0.712528697	1	8	24	24	0.712528697	-0.712528697	480	480	1.000000000	24	16	0.666666667	480	358	0.745833333	480	9489.679708640	9489.608455770	456	445	0.975877193
case_089	12	24	19.784082402	0.824336767	0	0	24	24	0.824336767	-0.824336767	480	480	1.000000000	24	17	0.708333333	480	332	0.691666667	480	9469.806983360	9469.724549684	474	461	0.972573840
case_090	17	24	9.179881392	0.382495058	0	0	24	24	0.382495058	-0.382495058	480	480	1.000000000	24	22	0.916666667	480	341	0.710416667	480	9486.035681080	9485.997431574	456	452	0.991228070
case_091	14	24	19.897807556	0.829075315	0	0	24	24	0.829075315	-0.829075315	480	479	0.997916667	24	21	0.875000000	479	304	0.634655532	479	9485.615123953	9485.532043337	455	432	0.949450549
case_092	15	24	1.040351762	0.043347990	1	24	24	24	0.043347990	-0.043347990	480	475	0.989583333	24	24	1.000000000	475	374	0.787368421	475	9475.370293699	9475.365913271	451	451	1.000000000
case_093	17	24	18.066503768	0.752770990	0	0	24	24	0.752770990	-0.752770990	480	480	1.000000000	24	18	0.750000000	480	345	0.718750000	480	9479.821460997	9479.746183898	474	463	0.976793249
case_094	16	8	4.546926573	0.568365822	0	0	8	8	0.568365822	-0.568365822	160	155	0.968750000	8	6	0.750000000	155	109	0.703225806	155	9466.939929090	9466.881259069	147	145	0.986394558
case_095	17	15	1.218702298	0.081246820	1	15	15	15	0.081246820	-0.081246820	300	290	0.966666667	15	15	1.000000000	290	203	0.700000000	290	9465.330116045	9465.321711201	275	275	1.000000000
case_096	15	11	3.185113188	0.289555744	0	0	11	11	0.289555744	-0.289555744	220	213	0.968181818	11	9	0.818181818	213	139	0.652582160	213	9463.999891758	9463.969984591	202	200	0.990099010
case_097	22	11	0.536347527	0.048758866	1	11	11	11	0.048758866	-0.048758866	220	211	0.959090909	11	11	1.000000000	211	143	0.677725118	211	9458.161147265	9458.156063402	200	200	1.000000000
case_098	20	8	5.612273740	0.701534218	0	0	8	8	0.701534218	-0.701534218	160	152	0.950000000	8	5	0.625000000	152	98	0.644736842	152	9458.914314096	9458.840468389	144	141	0.979166667
case_099	22	24	14.874257324	0.619760722	0	0	24	24	0.619760722	-0.619760722	480	464	0.966666667	24	21	0.875000000	464	329	0.709051724	464	9463.623627914	9463.559514736	440	437	0.993181818
