id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_074	15	24	16.437608082	0.684900337	0	0	24	24	0.684900337	-0.684900337	480	478	0.995833333	24	20	0.833333333	478	346	0.723849372	478	9464.199034332	9464.130257730	471	455	0.966029724
case_075	16	24	4.669147560	0.194547815	1	6	24	24	0.194547815	-0.194547815	480	478	0.995833333	24	21	0.875000000	478	364	0.761506276	478	9480.687970122	9480.668433939	454	451	0.993392070
case_076	22	24	5.961177068	0.248382378	1	4	24	24	0.248382378	-0.248382378	480	477	0.993750000	24	22	0.916666667	477	375	0.786163522	477	9479.385650905	9479.360656452	453	450	0.993377483
case_077	24	24	6.787437648	0.282809902	1	1	24	24	0.282809902	-0.282809902	480	480	1.000000000	24	21	0.875000000	480	385	0.802083333	480	9485.136980927	9485.108699937	456	452	0.991228070
case_078	28	24	22.440740998	0.935030875	0	0	24	24	0.935030875	-0.935030875	480	479	0.997916667	24	18	0.750000000	479	329	0.686847599	479	9484.544370191	9484.450671899	455	436	0.958241758
case_079	20	24	9.301037309	0.387543221	1	7	24	24	0.387543221	-0.387543221	480	479	0.997916667	24	21	0.875000000	479	356	0.743215031	479	9473.343881925	9473.305046696	473	466	0.985200846
case_080	13	24	16.172039818	0.673834992	1	6	24	24	0.673834992	-0.673834992	480	478	0.995833333	24	19	0.791666667	478	372	0.778242678	478	9485.158370961	9485.090705522	454	441	0.971365639
case_081	13	24	9.244721793	0.385196741	0	0	24	24	0.385196741	-0.385196741	480	479	0.997916667	24	22	0.916666667	479	353	0.736951983	479	9486.002168637	9485.963568546	455	453	0.995604396
case_082	16	24	28.199564714	1.174981863	1	7	24	24	1.174981863	-1.174981863	480	477	0.993750000	24	15	0.625000000	477	334	0.700209644	477	9472.288511590	9472.170274421	471	447	0.949044586
case_083	19	17	0.052012333	0.003059549	1	17	17	17	0.003059549	-0.003059549	340	330	0.970588235	17	17	1.000000000	330	243	0.736363636	330	9462.928756695	9462.928441469	313	313	1.000000000
case_084	23	11	0.526524329	0.047865848	1	11	11	11	0.047865848	-0.047865848	220	215	0.977272727	11	11	1.000000000	215	162	0.753488372	215	9467.528970590	9467.524072689	204	204	1.000000000
case_085	18	24	10.954021033	0.456417543	1	11	24	24	0.456417543	-0.456417543	480	475	0.989583333	24	20	0.833333333	475	375	0.789473684	475	9463.003621304	9462.957499110	469	463	0.987206823
case_086	16	24	5.810596605	0.242108192	1	11	24	24	0.242108192	-0.242108192	480	480	1.000000000	24	22	0.916666667	480	373	0.777083333	480	9487.614872097	9487.590661278	456	454	0.995614035
case_087	12	24	11.641932728	0.485080530	1	3	24	24	0.485080530	-0.485080530	480	480	1.000000000	24	19	0.791666667	480	374	0.779166667	480	9487.186234857	9487.137726804	456	446	0.978070175
case_088	14	24	14.775373344	0.615640556	1	7	24	24	0.615640556	-0.615640556	480	480	1.000000000	24	16	0.666666667	480	393	0.818750000	480	9489.767404106	9489.705840050	456	448	0.982456140
case_089	12	24	22.302747755	0.929281156	0	0	24	24	0.929281156	-0.929281156	480	480	1.000000000	24	18	0.750000000	480	340	0.708333333	480	9469.435794963	9469.342866847	474	459	0.968354430
case_090	17	24	8.128394203	0.338683092	0	0	24	24	0.338683092	-0.338683092	480	480	1.000000000	24	22	0.916666667	480	352	0.733333333	480	9485.103480968	9485.069612659	456	451	0.989035088
case_091	14	24	14.722777677	0.613449070	0	0	24	24	0.613449070	-0.613449070	480	479	0.997916667	24	22	0.916666667	479	334	0.697286013	479	9483.827358516	9483.765885540	455	438	0.962637363
case_092	15	24	1.088731403	0.045363808	1	24	24	24	0.045363808	-0.045363808	480	475	0.989583333	24	24	1.000000000	475	391	0.823157895	475	9474.889999905	9474.885415773	451	451	1.000000000
case_093	17	24	16.618471493	0.692436312	0	0	24	24	0.692436312	-0.692436312	480	480	1.000000000	24	17	0.708333333	480	369	0.768750000	480	9478.072789970	9478.003546339	474	465	0.981012658
case_094	16	8	0.178338425	0.022292303	1	8	8	8	0.022292303	-0.022292303	160	155	0.968750000	8	8	1.000000000	155	126	0.812903226	155	9463.952950529	9463.950649388	147	147	1.000000000
case_095	17	15	0.394578637	0.026305242	1	15	15	15	0.026305242	-0.026305242	300	290	0.966666667	15	15	1.000000000	290	223	0.768965517	290	9463.187960970	9463.185239738	275	275	1.000000000
case_096	15	11	1.938862638	0.176260240	0	0	11	11	0.176260240	-0.176260240	220	213	0.968181818	11	10	0.909090909	213	143	0.671361502	213	9462.331208103	9462.313002820	202	201	0.995049505
case_097	22	11	0.042717499	0.003883409	1	11	11	11	0.003883409	-0.003883409	220	211	0.959090909	11	11	1.000000000	211	156	0.739336493	211	9455.973262406	9455.972857501	200	200	1.000000000
case_098	20	8	7.303608421	0.912951053	1	1	8	8	0.912951053	-0.912951053	160	152	0.950000000	8	6	0.750000000	152	101	0.664473684	152	9457.835813719	9457.739713608	144	142	0.986111111
case_099	22	24	10.701805746	0.445908573	1	16	24	24	0.445908573	-0.445908573	480	464	0.966666667	24	22	0.916666667	464	348	0.750000000	464	9462.294595099	9462.248466626	440	438	0.995454545
